# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5093                   	1.411587991676034e-06	9.908674399593034e-07	3.334498729511539e-06	4.116266727926267e-06	4.365381844697871e-08
5094                   	1.409829327826985e-06	9.873622327233436e-07	3.329309952305643e-06	4.111229278643710e-06	4.360788196945146e-08
5095                   	1.408072911723708e-06	9.838624888032031e-07	3.324129112040760e-06	4.106200761639559e-06	4.356197617204182e-08
5096                   	1.406318299955006e-06	9.803714215772078e-07	3.318964508139605e-06	4.101181331940756e-06	4.351610210737834e-08
5097                   	1.404565344948411e-06	9.768899008090019e-07	3.313808973482142e-06	4.096172959879211e-06	4.347025989708287e-08
5098                   	1.402814195169753e-06	9.734138309486577e-07	3.308665166287922e-06	4.091171718488420e-06	4.342445085962844e-08
5099                   	1.401064956859358e-06	9.699442433766337e-07	3.303541669280601e-06	4.086177778562850e-06	4.337867221095607e-08
5100                   	1.399317461384331e-06	9.664878737963399e-07	3.298427415651070e-06	4.081190606888548e-06	4.333292507634606e-08
5101                   	1.397571708687182e-06	9.630418797750912e-07	3.293301410076882e-06	4.076210707193035e-06	4.328719965896181e-08
5102                   	1.395828156877063e-06	9.596031386963247e-07	3.288155027413820e-06	4.071237365736689e-06	4.324151320351281e-08
5103                   	1.394086807545167e-06	9.561757166378720e-07	3.283102293690678e-06	4.066270262065977e-06	4.319586282423326e-08
5104                   	1.392347440768962e-06	9.527556426582597e-07	3.278099577705263e-06	4.061309010543458e-06	4.315025111200320e-08
5105                   	1.390610210230525e-06	9.493504999423276e-07	3.273080411416402e-06	4.056353613425741e-06	4.310467137413688e-08
5106                   	1.388874591797206e-06	9.459586147552846e-07	3.268002717290704e-06	4.051406217498957e-06	4.305912604645204e-08
5107                   	1.387140569350692e-06	9.425829320645850e-07	3.263260186395372e-06	4.046466527805062e-06	4.301361592751246e-08
5108                   	1.385408774907055e-06	9.392178986355694e-07	3.258459922576834e-06	4.041533763401151e-06	4.296814080274156e-08
5109                   	1.383679133351647e-06	9.358663998710825e-07	3.253498153213941e-06	4.036606766582900e-06	4.292269582343299e-08
5110                   	1.381951518583519e-06	9.325255358923608e-07	3.248536853413373e-06	4.031685900266139e-06	4.287728411643243e-08
5111                   	1.380225483200048e-06	9.291944854259209e-07	3.243612936299294e-06	4.026771661554960e-06	4.283190762131799e-08
5112                   	1.378501366965644e-06	9.258712024117724e-07	3.238680127515594e-06	4.021863523580037e-06	4.278656435130051e-08
5113                   	1.376779051566877e-06	9.225557497009686e-07	3.233729657661119e-06	4.016963354988809e-06	4.274125337998681e-08
5114                   	1.375058306660051e-06	9.192534139790671e-07	3.228760572005731e-06	4.012070185451576e-06	4.269596427788017e-08
5115                   	1.373339285681432e-06	9.159586895434187e-07	3.223766088197093e-06	4.007182774439048e-06	4.265069138098316e-08
5116                   	1.371622301563344e-06	9.126708627441985e-07	3.218710654245671e-06	4.002301161914396e-06	4.260545777905524e-08
5117                   	1.369907235860235e-06	9.093920087492960e-07	3.213607047385536e-06	3.997425200701593e-06	4.256026404515911e-08
5118                   	1.368194197413063e-06	9.061210562127607e-07	3.208490472190228e-06	3.992554983207130e-06	4.251510072530509e-08
5119                   	1.366483238347170e-06	9.028591236963562e-07	3.203410881522484e-06	3.987692269454577e-06	4.246996825729714e-08
5120                   	1.364773973541248e-06	8.996072393854158e-07	3.198276224337430e-06	3.982835233452134e-06	4.242487518459216e-08
5121                   	1.363066422647248e-06	8.963655719056602e-07	3.193156583857320e-06	3.977983677448273e-06	4.237980290512233e-08
5122                   	1.361361174927558e-06	8.931312724450812e-07	3.188104155863912e-06	3.973139994736208e-06	4.233479395914318e-08
5123                   	1.359657820109287e-06	8.899060092935123e-07	3.182970906764086e-06	3.968302727092947e-06	4.228981853893943e-08
5124                   	1.357956318226514e-06	8.866881449318822e-07	3.177863966227044e-06	3.963471252676287e-06	4.224487425534110e-08
5125                   	1.356256560253132e-06	8.834818347674558e-07	3.172773747438931e-06	3.958645900305491e-06	4.219995864777471e-08
5126                   	1.354558348313983e-06	8.802861197693229e-07	3.167660525103862e-06	3.953828722896104e-06	4.215507298199783e-08
5127                   	1.352861948494182e-06	8.771053673529392e-07	3.162511465691782e-06	3.949019118184869e-06	4.211021594967750e-08
5128                   	1.351167363977423e-06	8.739342728090398e-07	3.157337114094384e-06	3.944218449962760e-06	4.206538710083242e-08
5129                   	1.349474775251164e-06	8.707725822912034e-07	3.152147699775608e-06	3.939425852946651e-06	4.202058658869029e-08
5130                   	1.347784274905135e-06	8.676221997238565e-07	3.146947592724381e-06	3.934639229729984e-06	4.197581473050065e-08
5131                   	1.346095889113691e-06	8.644806994160837e-07	3.141737080092847e-06	3.929859196208714e-06	4.193107465106844e-08
5132                   	1.344409571850935e-06	8.613493203435011e-07	3.136521489276329e-06	3.925084924320414e-06	4.188637183899772e-08
5133                   	1.342725203368908e-06	8.582267186990543e-07	3.131321388089611e-06	3.920316397031397e-06	4.184169232929611e-08
5134                   	1.341042320580653e-06	8.551132072406366e-07	3.126118281560024e-06	3.915554830682441e-06	4.179703579840690e-08
5135                   	1.339360989251268e-06	8.520127470229393e-07	3.120885144772522e-06	3.910800470872986e-06	4.175240537958908e-08
5136                   	1.337681940288782e-06	8.489217340578541e-07	3.115651204980628e-06	3.906051922787309e-06	4.170780296904502e-08
5137                   	1.336005167906888e-06	8.458385343758839e-07	3.110413091320769e-06	3.901309336721224e-06	4.166322996609698e-08
5138                   	1.334330314466456e-06	8.427632403316552e-07	3.105205559928456e-06	3.896572593143515e-06	4.161868765841905e-08
5139                   	1.332657284040304e-06	8.396997548910353e-07	3.100002740242449e-06	3.891843255157613e-06	4.157417879624075e-08
5140                   	1.330985738884799e-06	8.366456399299114e-07	3.094794112755723e-06	3.887119913548578e-06	4.152971216558428e-08
5141                   	1.329315853106123e-06	8.336023758733786e-07	3.089239373644759e-06	3.882402350969777e-06	4.148527670536714e-08
5142                   	1.327647725493436e-06	8.305709179664738e-07	3.084354626345309e-06	3.877690427970820e-06	4.144087336060110e-08
5143                   	1.325981497501058e-06	8.275481009526944e-07	3.079217383022971e-06	3.872983691481990e-06	4.139649948415630e-08
