# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
4038                   	4.012872646584707e-06	2.640103899741180e-06	1.151339235202450e-05	1.038000805555323e-05	1.303166259821799e-07
4039                   	4.007696048301719e-06	2.627824427547830e-06	1.170222871310667e-05	1.037270490849048e-05	1.301978885298782e-07
4040                   	4.002670126974280e-06	2.607036328428707e-06	1.376976768123168e-05	1.036524889501474e-05	1.300081323915641e-07
4041                   	3.996568525548091e-06	2.655191738668960e-06	1.216736879899504e-05	1.035787808767261e-05	1.299642672551892e-07
4042                   	3.991790418800761e-06	2.623888969930272e-06	1.315419214573366e-05	1.035024442179690e-05	1.297486142350988e-07
4043                   	3.985978763816381e-06	2.647587481120976e-06	1.265286592440931e-05	1.034265631440944e-05	1.296609225612309e-07
4044                   	3.980301881233667e-06	2.671094633314268e-06	1.222118709162902e-05	1.033500713493139e-05	1.295350144352811e-07
4045                   	3.975003226492260e-06	2.670332012665202e-06	1.451152946589995e-05	1.032722980936151e-05	1.293621621816174e-07
4046                   	3.968786609736159e-06	2.720835375129536e-06	1.327137407885828e-05	1.031958035432811e-05	1.293392690478591e-07
4047                   	3.964155649614565e-06	2.681534780036146e-06	1.270090349034739e-05	1.031168962637336e-05	1.291550144940227e-07
4048                   	3.958931361536216e-06	2.668618737871163e-06	1.202354035137186e-05	1.030381611299460e-05	1.290561858545949e-07
4049                   	3.953563542997782e-06	2.673584612237770e-06	1.112802317801028e-05	1.029590657328722e-05	1.289202948177961e-07
4050                   	3.948242476143596e-06	2.681131518436101e-06	1.110445450298590e-05	1.028795096104830e-05	1.287953692192513e-07
4051                   	3.942996378243746e-06	2.680708818306165e-06	1.138089051582817e-05	1.027994282586388e-05	1.286696946453217e-07
4052                   	3.937819876889111e-06	2.672904967917236e-06	1.139429289394508e-05	1.027188727149700e-05	1.285419628548460e-07
4053                   	3.932659257500604e-06	2.664761287879696e-06	1.555270927720532e-05	1.026386635060260e-05	1.285069415154228e-07
4054                   	3.929058649696059e-06	2.565568930878889e-06	1.732287514421550e-05	1.025560017593396e-05	1.282987016032564e-07
4055                   	3.924399310021379e-06	2.526395904934774e-06	1.504279841610239e-05	1.024737121424708e-05	1.281449442021177e-07
4056                   	3.918960570246731e-06	2.546938271012734e-06	1.789534541662710e-05	1.023911931851690e-05	1.278969894850198e-07
4057                   	3.912084867733187e-06	2.657537823567167e-06	1.946826635566051e-05	1.023103344344510e-05	1.278040227853451e-07
4058                   	3.906054287409558e-06	2.713502298678717e-06	2.227214376213719e-05	1.022296470400651e-05	1.277902182961503e-07
4059                   	3.902635832618753e-06	2.589722692866436e-06	2.018063434444078e-05	1.021454670790710e-05	1.276030239319482e-07
4060                   	3.898284849762150e-06	2.516920684345346e-06	1.876395502339623e-05	1.020615126878972e-05	1.274623062035590e-07
4061                   	3.892944504530876e-06	2.533447285536750e-06	1.408038831162039e-05	1.019782861035678e-05	1.273035327981738e-07
4062                   	3.887573212298010e-06	2.564702021827037e-06	1.190917806880958e-05	1.018951070250357e-05	1.271554366407642e-07
4063                   	3.882438766714362e-06	2.567887574253300e-06	1.245598010050949e-05	1.018114486422404e-05	1.270147450310597e-07
4064                   	3.877354860932602e-06	2.556351016419305e-06	1.256393550138150e-05	1.017273267294038e-05	1.268767318384165e-07
4065                   	3.872193065099622e-06	2.550927275424970e-06	1.221711513320700e-05	1.016429482374967e-05	1.267392294646229e-07
4066                   	3.866985888075315e-06	2.553746022920418e-06	1.155368901241303e-05	1.015585004811689e-05	1.266026899566662e-07
4067                   	3.861825289823278e-06	2.556442958480222e-06	1.107419454278556e-05	1.014741432941150e-05	1.264677910467717e-07
4068                   	3.856747488523746e-06	2.554734737784896e-06	1.094456173614529e-05	1.013897657774440e-05	1.263333124721583e-07
4069                   	3.851706500147867e-06	2.550933110948505e-06	1.094506188791943e-05	1.013051421525076e-05	1.261981130780206e-07
