# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5596                   	7.501586844490120e-06	4.639921284070698e-06	1.637375815600765e-05	4.115931302426757e-05	3.140811833366904e-07
5597                   	7.492982258068661e-06	4.634220081078243e-06	1.635107523395467e-05	4.110529713776126e-05	3.137164342592098e-07
5598                   	7.484386633604654e-06	4.628520842430774e-06	1.632842769026218e-05	4.105132472629139e-05	3.133519635834586e-07
5599                   	7.475800626856290e-06	4.622828441728964e-06	1.630581053572024e-05	4.099739621918623e-05	3.129878131200680e-07
5600                   	7.467224215563105e-06	4.617135799554795e-06	1.628322809832730e-05	4.094351193214383e-05	3.126239299442122e-07
5601                   	7.458657014419592e-06	4.611444005629393e-06	1.626067501735150e-05	4.088967168454776e-05	3.122603195953393e-07
5602                   	7.450098862739885e-06	4.605754031440496e-06	1.623815368409289e-05	4.083587528962779e-05	3.118969452404000e-07
5603                   	7.441550973725722e-06	4.600065405253464e-06	1.621566235629340e-05	4.078212259037717e-05	3.115339161464611e-07
5604                   	7.433013430852527e-06	4.594376910709962e-06	1.619320157112247e-05	4.072841362820187e-05	3.111711975888951e-07
5605                   	7.424485366344168e-06	4.588688512279793e-06	1.617077080199818e-05	4.067474881388156e-05	3.108087584743331e-07
5606                   	7.415966441631436e-06	4.583003665137325e-06	1.614837061587338e-05	4.062112791214206e-05	3.104465862855090e-07
5607                   	7.407457453652837e-06	4.577318140630576e-06	1.612600573327650e-05	4.056755076731965e-05	3.100846972895036e-07
5608                   	7.398958487775145e-06	4.571631103910314e-06	1.610367229909065e-05	4.051401756176788e-05	3.097230439924435e-07
5609                   	7.390469157160718e-06	4.565943078295347e-06	1.608136819409029e-05	4.046052853184597e-05	3.093616245978345e-07
5610                   	7.381989514662199e-06	4.560253883621705e-06	1.605909222519426e-05	4.040708454516793e-05	3.090004517698958e-07
5611                   	7.373519343371166e-06	4.554570340876718e-06	1.603684510741556e-05	4.035368534130591e-05	3.086395299957711e-07
5612                   	7.365058886857559e-06	4.548886461266974e-06	1.601462634087283e-05	4.030033049802323e-05	3.082788887440641e-07
5613                   	7.356607196500958e-06	4.543201000298990e-06	1.599243762975619e-05	4.024702025218056e-05	3.079185441807986e-07
5614                   	7.348164002087647e-06	4.537518209387920e-06	1.597027802643145e-05	4.019375445820647e-05	3.075585584824789e-07
5615                   	7.339729991986782e-06	4.531838230584761e-06	1.594814719079225e-05	4.014053332343960e-05	3.071988899773518e-07
5616                   	7.331304805827762e-06	4.526161576017795e-06	1.592604658826553e-05	4.008735734983735e-05	3.068394930047342e-07
5617                   	7.322888994112062e-06	4.520486813971212e-06	1.590397641576356e-05	4.003422617642528e-05	3.064803595118886e-07
5618                   	7.314482903344948e-06	4.514811894947035e-06	1.588193542074480e-05	3.998113902039752e-05	3.061215026258697e-07
5619                   	7.306086170327283e-06	4.509138015226938e-06	1.585992400529465e-05	3.992809591788816e-05	3.057629210514395e-07
5620                   	7.297698135354632e-06	4.503465955438352e-06	1.583794155930548e-05	3.987509740174689e-05	3.054046364074647e-07
5621                   	7.289319076269857e-06	4.497795308957704e-06	1.581598799331319e-05	3.982214449802031e-05	3.050466312910369e-07
5622                   	7.280950228565671e-06	4.492125109692552e-06	1.579406352905828e-05	3.976923689981583e-05	3.046889043484029e-07
5623                   	7.272589669786483e-06	4.486457976089565e-06	1.577216887485109e-05	3.971637394479802e-05	3.043314334784189e-07
5624                   	7.264238086636202e-06	4.480792960347245e-06	1.575030147280198e-05	3.966355654699445e-05	3.039742960208714e-07
5625                   	7.255895967138043e-06	4.475129486297454e-06	1.572846284886358e-05	3.961078457569033e-05	3.036174949981698e-07
5626                   	7.247562272543568e-06	4.469467301141035e-06	1.570665147089739e-05	3.955805732252530e-05	3.032609830561135e-07
5627                   	7.239236808319402e-06	4.463806506555998e-06	1.568487028975853e-05	3.950537512717562e-05	3.029047102230802e-07
5628                   	7.230920758308000e-06	4.458149957200396e-06	1.566311648602532e-05	3.945273858140271e-05	3.025486836410586e-07
5629                   	7.222613742462930e-06	4.452501416352573e-06	1.564138978820251e-05	3.940014776890225e-05	3.021929275272845e-07
5630                   	7.214315127286589e-06	4.446855033316123e-06	1.561969224624586e-05	3.934760212883814e-05	3.018374595871497e-07
5631                   	7.206026191275542e-06	4.441208724804710e-06	1.559802259557821e-05	3.929510156765769e-05	3.014823094353230e-07
5632                   	7.197747219611018e-06	4.435562375191355e-06	1.557638160111068e-05	3.924264691970009e-05	3.011274870107947e-07
5633                   	7.189480374660583e-06	4.429915063590644e-06	1.555476879421282e-05	3.919023724354781e-05	3.007729336528515e-07
5634                   	7.181226353108363e-06	4.424268598638803e-06	1.553318473738840e-05	3.913787380516999e-05	3.004186749020389e-07
5635                   	7.172983629664911e-06	4.418621902324018e-06	1.551162784058277e-05	3.908555478576625e-05	3.000646893761332e-07
5636                   	7.164751942508915e-06	4.412973958017110e-06	1.549009955998411e-05	3.903328031717184e-05	2.997109757887402e-07
5637                   	7.156531020935350e-06	4.407326839291160e-06	1.546859935385712e-05	3.898105080325074e-05	2.993575765152158e-07
5638                   	7.148318937006522e-06	4.401680911556892e-06	1.544712817215033e-05	3.892886681767874e-05	2.990044539760616e-07
5639                   	7.140117470369260e-06	4.396034458784122e-06	1.542568522038081e-05	3.887672785489711e-05	2.986516408287362e-07
5640                   	7.131927110932416e-06	4.390387262993726e-06	1.540426940970919e-05	3.882463345182572e-05	2.982991019135698e-07
5641                   	7.123746911665639e-06	4.384739375533292e-06	1.538288047973318e-05	3.877258355571806e-05	2.979468945696177e-07
5642                   	7.115577236433622e-06	4.379096872809580e-06	1.536151950309503e-05	3.872057823346248e-05	2.975950036458450e-07
5643                   	7.107417069126224e-06	4.373453196694253e-06	1.534018460629788e-05	3.866861783005625e-05	2.972434132399266e-07
5644                   	7.099265837010160e-06	4.367807979300598e-06	1.531888305791418e-05	3.861670389780131e-05	2.968921027090517e-07
