# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
2575                   	5.034140324766779e-05	2.548622267802460e-04	3.920539217184789e-04	6.472062668667233e-05	1.251981772335867e-06
2576                   	5.026293956121925e-05	2.542616167866528e-04	3.907128082807308e-04	6.463406060918941e-05	1.251441305148630e-06
2577                   	5.018450713216494e-05	2.536580432356270e-04	3.892593548145618e-04	6.454867839504315e-05	1.250895194849308e-06
2578                   	5.010628404119539e-05	2.530519769570608e-04	3.878539049375408e-04	6.446576362170898e-05	1.250356565267831e-06
2579                   	5.002844498177627e-05	2.524423296435497e-04	3.869078738153674e-04	6.438303543933343e-05	1.249816242768773e-06
2580                   	4.995055439158022e-05	2.518303722878793e-04	3.859456042121818e-04	6.430064598864469e-05	1.249266646640033e-06
2581                   	4.987297571522472e-05	2.512178708488863e-04	3.847113304343561e-04	6.421849154839407e-05	1.248705775986493e-06
2582                   	4.979533397245754e-05	2.506056507126286e-04	3.834526783150087e-04	6.413681799951811e-05	1.248145593862628e-06
2583                   	4.971793255743795e-05	2.499922560041659e-04	3.821872967876163e-04	6.405605861955462e-05	1.247576485798176e-06
2584                   	4.964092175678808e-05	2.493759744213523e-04	3.806530082179339e-04	6.397616243046796e-05	1.246955237306266e-06
2585                   	4.956403838105758e-05	2.487572038360129e-04	3.790070812373357e-04	6.389737704984653e-05	1.246381960192383e-06
2586                   	4.948715211175859e-05	2.481354879653643e-04	3.772086043550930e-04	6.381892648941858e-05	1.245792693574615e-06
2587                   	4.941029206035449e-05	2.475122529786426e-04	3.753725828362948e-04	6.374060904589141e-05	1.245197013972223e-06
2588                   	4.933347069161466e-05	2.468851008430400e-04	3.733785944328686e-04	6.366360775414015e-05	1.244589590075337e-06
2589                   	4.925696381277322e-05	2.462546891509581e-04	3.712282826606519e-04	6.358761302142114e-05	1.243974875782178e-06
2590                   	4.918048584844031e-05	2.456219639855281e-04	3.695180991539669e-04	6.351185251863930e-05	1.243364887265303e-06
2591                   	4.910376840417947e-05	2.449887116207730e-04	3.680080965772371e-04	6.343526662716741e-05	1.242750899020487e-06
2592                   	4.902690448122007e-05	2.443555211471468e-04	3.668230576872271e-04	6.335840456743538e-05	1.242130315978388e-06
2593                   	4.895011221331901e-05	2.437213185025953e-04	3.657617705601213e-04	6.328224405333809e-05	1.241498431968683e-06
2594                   	4.887348000600504e-05	2.430837484656526e-04	3.648974513217970e-04	6.320675943176524e-05	1.240858475925900e-06
2595                   	4.879742327988535e-05	2.424443007129815e-04	3.640187054670642e-04	6.313200270195645e-05	1.240212173038984e-06
2596                   	4.872189811921980e-05	2.418029066126310e-04	3.629968927124986e-04	6.305756663160115e-05	1.239562298095810e-06
2597                   	4.864636221229552e-05	2.411602133900767e-04	3.620085974483397e-04	6.298365471151367e-05	1.238898054766496e-06
2598                   	4.857057490162127e-05	2.405157647867146e-04	3.610285487321988e-04	6.291010828351672e-05	1.238249722826686e-06
2599                   	4.849464158051139e-05	2.398685925580947e-04	3.599381838139575e-04	6.283708558643404e-05	1.237581372242695e-06
2600                   	4.841890124494996e-05	2.392212992403179e-04	3.589176387689630e-04	6.276471695954461e-05	1.236902582058508e-06
2601                   	4.834318288576237e-05	2.385734581869256e-04	3.579260518890296e-04	6.269285149028925e-05	1.236212627793885e-06
2602                   	4.826760405317858e-05	2.379251798573708e-04	3.568583929570254e-04	6.262111021611839e-05	1.235516935442456e-06
2603                   	4.819190030096143e-05	2.372758003132611e-04	3.556116063046797e-04	6.254926392413980e-05	1.234806604002503e-06
2604                   	4.811632769687439e-05	2.366239490180243e-04	3.543077258737518e-04	6.247805570538794e-05	1.234078805047328e-06
2605                   	4.804086227757377e-05	2.359692588705157e-04	3.532050851809648e-04	6.240769455443580e-05	1.233337005803970e-06
2606                   	4.796551932636137e-05	2.353137949117855e-04	3.521089658320075e-04	6.233785360375800e-05	1.232581801765784e-06
2607                   	4.789015146832612e-05	2.346570688671326e-04	3.510349265999293e-04	6.226840078646429e-05	1.231821746102106e-06
2608                   	4.781492785044519e-05	2.339990541613452e-04	3.499627603777650e-04	6.219898524836307e-05	1.231059747095580e-06
2609                   	4.773970722408918e-05	2.333400258196533e-04	3.488518909582610e-04	6.213012362861863e-05	1.230291302696965e-06
2610                   	4.766463592900133e-05	2.326793940846074e-04	3.477162207088992e-04	6.206176590995251e-05	1.229516684421192e-06
2611                   	4.758929536066050e-05	2.320181989433476e-04	3.465948687328943e-04	6.199347650679880e-05	1.228736159962579e-06
2612                   	4.751387913468927e-05	2.313559539063722e-04	3.454675292518207e-04	6.192580386680537e-05	1.227947761246978e-06
2613                   	4.743901028404954e-05	2.306931030574294e-04	3.443380914059532e-04	6.185799664164383e-05	1.227145433374785e-06
2614                   	4.736439167205809e-05	2.300274455896964e-04	3.432266656121906e-04	6.179002608643190e-05	1.226334867297261e-06
